Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
INSERT,200,200,1600,0.41840243,0.00026150,0.05977178,0.05977178,All
SELECT,200,0,130,0.00319123,0.00002455,0.00319123,0.00319123,SELECT group reservation per device
SELECT,200,0,130,0.00205135,0.00001578,0.00205135,0.00205135,SELECT count average reservation time per device
SELECT,200,0,65,0.00200176,0.00003080,0.00200176,0.00200176,SELECT count number of admins
SELECT,200,0,0,0.00100183,0.00000000,0.00100183,0.00100183,SELECT find problem by id
SELECT,200,0,0,0.00100064,0.00000000,0.00100064,0.00100064,SELECT find dormitory messages
SELECT,200,0,1,0.00100303,0.00100303,0.00100303,0.00100303,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00101757,0.00000509,0.00101757,0.00101757,SELECT find users
SELECT,200,0,200,0.00096369,0.00000482,0.00096369,0.00096369,SELECT count problems by status
SELECT,200,0,106,0.00199747,0.00001884,0.00199747,0.00199747,SELECT group messages per dormitory
SELECT,200,0,832,0.01422858,0.00001710,0.00158095,0.00158095,All
UPDATE,200,0,74,0.00818062,0.00011055,0.00818062,0.00818062,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00909376,0.00004547,0.00909376,0.00909376,UPDATE reservation time
UPDATE,200,0,0,0.00110054,0.00000000,0.00110054,0.00110054,UPDATE status when problem is older than
UPDATE,200,0,1,0.00420713,0.00420713,0.00420713,0.00420713,UPDATE one message
UPDATE,200,0,275,0.02258205,0.00008212,0.00564551,0.00564551,All
DELETE,400,0,2,0.00838947,0.00419474,0.00838947,0.00838947,DELETE many not in batch
DELETE,400,0,394,0.00939345,0.00002384,0.00939345,0.00939345,DELETE many in batch
DELETE,400,0,396,0.01778293,0.00004491,0.00889146,0.00889146,All
INSERT,200,200,1600,0.39670777,0.00024794,0.05667254,0.05667254,All
SELECT,200,0,129,0.00399661,0.00003098,0.00399661,0.00399661,SELECT group reservation per device
SELECT,200,0,129,0.00300097,0.00002326,0.00300097,0.00300097,SELECT count average reservation time per device
SELECT,200,0,75,0.00200009,0.00002667,0.00200009,0.00200009,SELECT count number of admins
SELECT,200,0,0,0.00100231,0.00000000,0.00100231,0.00100231,SELECT find problem by id
SELECT,200,0,0,0.00105929,0.00000000,0.00105929,0.00105929,SELECT find dormitory messages
SELECT,200,0,1,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00300193,0.00001501,0.00300193,0.00300193,SELECT find users
SELECT,200,0,200,0.00099754,0.00000499,0.00099754,0.00099754,SELECT count problems by status
SELECT,200,0,106,0.00300002,0.00002830,0.00300002,0.00300002,SELECT group messages per dormitory
SELECT,200,0,840,0.01805878,0.00002150,0.00200653,0.00200653,All
UPDATE,200,0,77,0.01316142,0.00017093,0.01316142,0.01316142,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00713825,0.00003569,0.00713825,0.00713825,UPDATE reservation time
UPDATE,200,0,0,0.00099826,0.00000000,0.00099826,0.00099826,UPDATE status when problem is older than
UPDATE,200,0,1,0.00508118,0.00508118,0.00508118,0.00508118,UPDATE one message
UPDATE,200,0,278,0.02637911,0.00009489,0.00659478,0.00659478,All
DELETE,400,0,2,0.00813389,0.00406694,0.00813389,0.00813389,DELETE many not in batch
DELETE,400,0,394,0.00804782,0.00002043,0.00804782,0.00804782,DELETE many in batch
DELETE,400,0,396,0.01618171,0.00004086,0.00809085,0.00809085,All
INSERT,200,200,1600,0.38025880,0.00023766,0.05432269,0.05432269,All
SELECT,200,0,132,0.00405765,0.00003074,0.00405765,0.00405765,SELECT group reservation per device
SELECT,200,0,132,0.00199914,0.00001514,0.00199914,0.00199914,SELECT count average reservation time per device
SELECT,200,0,61,0.00199914,0.00003277,0.00199914,0.00199914,SELECT count number of admins
SELECT,200,0,0,0.00100493,0.00000000,0.00100493,0.00100493,SELECT find problem by id
SELECT,200,0,0,0.00100017,0.00000000,0.00100017,0.00100017,SELECT find dormitory messages
SELECT,200,0,1,0.00100327,0.00100327,0.00100327,0.00100327,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00199962,0.00001000,0.00199962,0.00199962,SELECT find users
SELECT,200,0,200,0.00114512,0.00000573,0.00114512,0.00114512,SELECT count problems by status
